method,path,normalized_path,source,line
GET,/,/,src/router.rs,62
GET,/_migration/breakdown,/_migration/breakdown,src/router.rs,442
GET,/_migration/progress,/_migration/progress,src/router.rs,441
GET,/_migration/status,/_migration/status,src/router.rs,440
ANY,/*tail,/*tail,src/router.rs,443
GET,/acceso/debug-raw-data,/acceso/debug-raw-data,src/router.rs,301
GET,/acceso/delegacion,/acceso/delegacion,src/router.rs,302
POST,/acceso/delegacion,/acceso/delegacion,src/router.rs,302
DELETE,/acceso/delegacion/:id,/acceso/delegacion/:param,src/router.rs,306
GET,/acceso/delegacion/delegado/:carnetDelegado,/acceso/delegacion/delegado/:param,src/router.rs,307
GET,/acceso/delegacion/delegante/:carnetDelegante,/acceso/delegacion/delegante/:param,src/router.rs,311
GET,/acceso/empleado/:carnet,/acceso/empleado/:param,src/router.rs,277
GET,/acceso/empleado/email/:correo,/acceso/empleado/email/:param,src/router.rs,315
GET,/acceso/empleados,/acceso/empleados,src/router.rs,316
GET,/acceso/empleados/buscar,/acceso/empleados/buscar,src/router.rs,317
GET,/acceso/empleados/gerencia/:nombre,/acceso/empleados/gerencia/:param,src/router.rs,318
GET,/acceso/organizacion/buscar,/acceso/organizacion/buscar,src/router.rs,322
GET,/acceso/organizacion/nodo/:idOrg,/acceso/organizacion/nodo/:param,src/router.rs,323
GET,/acceso/organizacion/nodo/:idOrg/preview,/acceso/organizacion/nodo/:param/preview,src/router.rs,327
GET,/acceso/organizacion/tree,/acceso/organizacion/tree,src/router.rs,278
GET,/acceso/permiso-area,/acceso/permiso-area,src/router.rs,331
POST,/acceso/permiso-area,/acceso/permiso-area,src/router.rs,331
DELETE,/acceso/permiso-area/:id,/acceso/permiso-area/:param,src/router.rs,335
GET,/acceso/permiso-area/:id,/acceso/permiso-area/:param,src/router.rs,335
GET,/acceso/permiso-empleado,/acceso/permiso-empleado,src/router.rs,339
POST,/acceso/permiso-empleado,/acceso/permiso-empleado,src/router.rs,339
DELETE,/acceso/permiso-empleado/:id,/acceso/permiso-empleado/:param,src/router.rs,343
GET,/acceso/permiso-empleado/:id,/acceso/permiso-empleado/:param,src/router.rs,343
GET,/admin/audit-logs,/admin/audit-logs,src/router.rs#admin_subrouter,13
GET,/admin/backup/export,/admin/backup/export,src/router.rs#admin_subrouter,20
POST,/admin/import/asignaciones,/admin/import/asignaciones,src/router.rs#admin_subrouter,25
POST,/admin/import/empleados,/admin/import/empleados,src/router.rs#admin_subrouter,23
POST,/admin/import/organizacion,/admin/import/organizacion,src/router.rs#admin_subrouter,24
GET,/admin/import/stats,/admin/import/stats,src/router.rs#admin_subrouter,26
GET,/admin/import/template/empleados,/admin/import/template/empleados,src/router.rs#admin_subrouter,21
GET,/admin/import/template/organizacion,/admin/import/template/organizacion,src/router.rs#admin_subrouter,22
GET,/admin/logs,/admin/logs,src/router.rs#admin_subrouter,12
POST,/admin/nodos,/admin/nodos,src/router.rs#admin_subrouter,15
GET,/admin/organigrama,/admin/organigrama,src/router.rs#admin_subrouter,14
GET,/admin/recycle-bin,/admin/recycle-bin,src/router.rs#admin_subrouter,18
POST,/admin/recycle-bin/restore,/admin/recycle-bin/restore,src/router.rs#admin_subrouter,19
GET,/admin/roles,/admin/roles,src/router.rs#admin_subrouter,10
POST,/admin/roles,/admin/roles,src/router.rs#admin_subrouter,10
DELETE,/admin/roles/:id,/admin/roles/:param,src/router.rs#admin_subrouter,11
PATCH,/admin/roles/:id,/admin/roles/:param,src/router.rs#admin_subrouter,11
POST,/admin/security/assign-menu,/admin/security/assign-menu,src/router.rs#admin_subrouter,28
DELETE,/admin/security/assign-menu/:id,/admin/security/assign-menu/:param,src/router.rs#admin_subrouter,29
GET,/admin/security/profiles,/admin/security/profiles,src/router.rs#admin_subrouter,30
GET,/admin/security/users-access,/admin/security/users-access,src/router.rs#admin_subrouter,27
GET,/admin/stats,/admin/stats,src/router.rs#admin_subrouter,3
GET,/admin/usuarios,/admin/usuarios,src/router.rs#admin_subrouter,4
POST,/admin/usuarios,/admin/usuarios,src/router.rs#admin_subrouter,4
GET,/admin/usuarios-inactivos,/admin/usuarios-inactivos,src/router.rs#admin_subrouter,9
POST,/admin/usuarios-organizacion,/admin/usuarios-organizacion,src/router.rs#admin_subrouter,16
DELETE,/admin/usuarios-organizacion/:idUsuario/:idNodo,/admin/usuarios-organizacion/:param/:param,src/router.rs#admin_subrouter,17
DELETE,/admin/usuarios/:id,/admin/usuarios/:param,src/router.rs#admin_subrouter,5
PATCH,/admin/usuarios/:id,/admin/usuarios/:param,src/router.rs#admin_subrouter,5
POST,/admin/usuarios/:id/menu,/admin/usuarios/:param/menu,src/router.rs#admin_subrouter,7
PATCH,/admin/usuarios/:id/rol,/admin/usuarios/:param/rol,src/router.rs#admin_subrouter,6
GET,/admin/usuarios/:id/visibilidad-efectiva,/admin/usuarios/:param/visibilidad-efectiva,src/router.rs#admin_subrouter,8
GET,/agenda-recurrente,/agenda-recurrente,src/router.rs,347
GET,/agenda/:targetCarnet,/agenda/:param,src/router.rs,348
POST,/asignaciones,/asignaciones,src/router.rs,349
GET,/audit-logs/task/:idTarea,/audit-logs/task/:param,src/router.rs,350
POST,/auth/change-password,/auth/change-password,src/router.rs,73
GET,/auth/config,/auth/config,src/router.rs,74
POST,/auth/config,/auth/config,src/router.rs,74
POST,/auth/login,/auth/login,src/router.rs,71
POST,/auth/portal-session,/auth/portal-session,src/router.rs,79
POST,/auth/refresh,/auth/refresh,src/router.rs,72
POST,/auth/sso-login,/auth/sso-login,src/router.rs,78
POST,/auth/sso-sync-user,/auth/sso-sync-user,src/router.rs,80
POST,/bloqueos,/bloqueos,src/router.rs,351
PATCH,/bloqueos/:id/resolver,/bloqueos/:param/resolver,src/router.rs,352
GET,/campo/recorrido/activo,/campo/recorrido/activo,src/router.rs,353
GET,/campo/recorrido/admin,/campo/recorrido/admin,src/router.rs,354
POST,/campo/recorrido/finalizar,/campo/recorrido/finalizar,src/router.rs,355
GET,/campo/recorrido/historial,/campo/recorrido/historial,src/router.rs,356
POST,/campo/recorrido/iniciar,/campo/recorrido/iniciar,src/router.rs,357
POST,/campo/recorrido/punto,/campo/recorrido/punto,src/router.rs,358
POST,/campo/recorrido/puntos-batch,/campo/recorrido/puntos-batch,src/router.rs,359
GET,/campo/recorrido/puntos/:id,/campo/recorrido/puntos/:param,src/router.rs,360
POST,/checkins,/checkins,src/router.rs,361
GET,/config,/config,src/router.rs,362
POST,/config,/config,src/router.rs,362
GET,/diagnostico/contexto,/diagnostico/contexto,src/router.rs,63
GET,/diagnostico/ping,/diagnostico/ping,src/router.rs,64
GET,/diagnostico/stats,/diagnostico/stats,src/router.rs,65
GET,/diagnostico/test-idcreador,/diagnostico/test-idcreador,src/router.rs,66
GET,/diagnostico/test-tarea,/diagnostico/test-tarea,src/router.rs,70
GET,/equipo/actividad,/equipo/actividad,src/router.rs,366
GET,/equipo/actividad/:id,/equipo/actividad/:param,src/router.rs,367
GET,/equipo/backlog,/equipo/backlog,src/router.rs,368
GET,/equipo/bloqueos,/equipo/bloqueos,src/router.rs,369
GET,/equipo/hoy,/equipo/hoy,src/router.rs,370
GET,/equipo/inform,/equipo/inform,src/router.rs,371
GET,/equipo/miembro/:idUsuario,/equipo/miembro/:param,src/router.rs,372
GET,/equipo/miembro/:idUsuario/bloqueos,/equipo/miembro/:param/bloqueos,src/router.rs,373
GET,/equipo/miembro/:idUsuario/tareas,/equipo/miembro/:param/tareas,src/router.rs,377
GET,/foco,/foco,src/router.rs,381
POST,/foco,/foco,src/router.rs,381
DELETE,/foco/:id,/foco/:param,src/router.rs,385
PATCH,/foco/:id,/foco/:param,src/router.rs,385
GET,/foco/estadisticas,/foco/estadisticas,src/router.rs,389
POST,/foco/reordenar,/foco/reordenar,src/router.rs,390
GET,/gerencia/resumen,/gerencia/resumen,src/router.rs,391
GET,/jornada/asignaciones,/jornada/asignaciones,src/router.rs,267
POST,/jornada/asignaciones,/jornada/asignaciones,src/router.rs,267
