module,method,path,normalized_path,controller_file,line
acceso,GET,/acceso/debug-raw-data,/acceso/debug-raw-data,acceso/acceso.controller.ts,175
acceso,GET,/acceso/delegacion,/acceso/delegacion,acceso/acceso.controller.ts,101
acceso,POST,/acceso/delegacion,/acceso/delegacion,acceso/acceso.controller.ts,76
acceso,DELETE,/acceso/delegacion/:id,/acceso/delegacion/:param,acceso/acceso.controller.ts,105
acceso,GET,/acceso/delegacion/delegado/:carnetDelegado,/acceso/delegacion/delegado/:param,acceso/acceso.controller.ts,82
acceso,GET,/acceso/delegacion/delegante/:carnetDelegante,/acceso/delegacion/delegante/:param,acceso/acceso.controller.ts,93
acceso,GET,/acceso/empleado/:carnet,/acceso/empleado/:param,acceso/acceso.controller.ts,112
acceso,GET,/acceso/empleado/email/:correo,/acceso/empleado/email/:param,acceso/acceso.controller.ts,138
acceso,GET,/acceso/empleados,/acceso/empleados,acceso/acceso.controller.ts,122
acceso,GET,/acceso/empleados/buscar,/acceso/empleados/buscar,acceso/acceso.controller.ts,134
acceso,GET,/acceso/empleados/gerencia/:nombre,/acceso/empleados/gerencia/:param,acceso/acceso.controller.ts,129
acceso,GET,/acceso/organizacion/buscar,/acceso/organizacion/buscar,acceso/acceso.controller.ts,151
acceso,GET,/acceso/organizacion/nodo/:idOrg,/acceso/organizacion/nodo/:param,acceso/acceso.controller.ts,161
acceso,GET,/acceso/organizacion/nodo/:idOrg/preview,/acceso/organizacion/nodo/:param/preview,acceso/acceso.controller.ts,164
acceso,GET,/acceso/organizacion/tree,/acceso/organizacion/tree,acceso/acceso.controller.ts,157
acceso,GET,/acceso/permiso-area,/acceso/permiso-area,acceso/acceso.controller.ts,33
acceso,POST,/acceso/permiso-area,/acceso/permiso-area,acceso/acceso.controller.ts,21
acceso,GET,/acceso/permiso-area/:carnetRecibe,/acceso/permiso-area/:param,acceso/acceso.controller.ts,29
acceso,DELETE,/acceso/permiso-area/:id,/acceso/permiso-area/:param,acceso/acceso.controller.ts,38
acceso,GET,/acceso/permiso-empleado,/acceso/permiso-empleado,acceso/acceso.controller.ts,62
acceso,POST,/acceso/permiso-empleado,/acceso/permiso-empleado,acceso/acceso.controller.ts,48
acceso,GET,/acceso/permiso-empleado/:carnetRecibe,/acceso/permiso-empleado/:param,acceso/acceso.controller.ts,57
acceso,DELETE,/acceso/permiso-empleado/:id,/acceso/permiso-empleado/:param,acceso/acceso.controller.ts,69
acceso,GET,/visibilidad/:carnet,/visibilidad/:param,acceso/visibilidad.controller.ts,9
acceso,GET,/visibilidad/:carnet/actores,/visibilidad/:param/actores,acceso/visibilidad.controller.ts,26
acceso,GET,/visibilidad/:carnet/empleados,/visibilidad/:param/empleados,acceso/visibilidad.controller.ts,13
acceso,GET,/visibilidad/:carnet/puede-ver/:carnetObjetivo,/visibilidad/:param/puede-ver/:param,acceso/visibilidad.controller.ts,18
acceso,GET,/visibilidad/:carnet/quien-puede-verme,/visibilidad/:param/quien-puede-verme,acceso/visibilidad.controller.ts,30
admin,GET,/admin/audit-logs,/admin/audit-logs,admin/admin.controller.ts,139
admin,GET,/admin/backup/export,/admin/backup/export,admin/backup/backup.controller.ts,26
admin,POST,/admin/import/asignaciones,/admin/import/asignaciones,admin/import.controller.ts,200
admin,POST,/admin/import/empleados,/admin/import/empleados,admin/import.controller.ts,144
admin,POST,/admin/import/organizacion,/admin/import/organizacion,admin/import.controller.ts,172
admin,GET,/admin/import/stats,/admin/import/stats,admin/import.controller.ts,221
admin,GET,/admin/import/template/empleados,/admin/import/template/empleados,admin/import.controller.ts,42
admin,GET,/admin/import/template/organizacion,/admin/import/template/organizacion,admin/import.controller.ts,100
admin,GET,/admin/logs,/admin/logs,admin/admin.controller.ts,133
admin,POST,/admin/nodos,/admin/nodos,admin/admin.controller.ts,148
admin,GET,/admin/organigrama,/admin/organigrama,admin/admin.controller.ts,145
admin,GET,/admin/recycle-bin,/admin/recycle-bin,admin/admin.controller.ts,162
admin,POST,/admin/recycle-bin/restore,/admin/recycle-bin/restore,admin/admin.controller.ts,167
admin,GET,/admin/roles,/admin/roles,admin/admin.controller.ts,105
admin,POST,/admin/roles,/admin/roles,admin/admin.controller.ts,109
admin,DELETE,/admin/roles/:id,/admin/roles/:param,admin/admin.controller.ts,124
admin,PATCH,/admin/roles/:id,/admin/roles/:param,admin/admin.controller.ts,115
admin,POST,/admin/security/assign-menu,/admin/security/assign-menu,admin/admin-security.controller.ts,43
admin,DELETE,/admin/security/assign-menu/:id,/admin/security/assign-menu/:param,admin/admin-security.controller.ts,54
admin,GET,/admin/security/profiles,/admin/security/profiles,admin/admin-security.controller.ts,62
admin,GET,/admin/security/users-access,/admin/security/users-access,admin/admin-security.controller.ts,34
admin,GET,/admin/stats,/admin/stats,admin/admin.controller.ts,54
admin,GET,/admin/usuarios,/admin/usuarios,admin/admin.controller.ts,57
admin,POST,/admin/usuarios,/admin/usuarios,admin/admin.controller.ts,85
admin,GET,/admin/usuarios-inactivos,/admin/usuarios-inactivos,admin/admin.controller.ts,195
admin,POST,/admin/usuarios-organizacion,/admin/usuarios-organizacion,admin/admin.controller.ts,154
admin,DELETE,/admin/usuarios-organizacion/:idUsuario/:idNodo,/admin/usuarios-organizacion/:param/:param,admin/admin.controller.ts,182
admin,DELETE,/admin/usuarios/:id,/admin/usuarios/:param,admin/admin.controller.ts,174
admin,PATCH,/admin/usuarios/:id,/admin/usuarios/:param,admin/admin.controller.ts,91
admin,POST,/admin/usuarios/:id/menu,/admin/usuarios/:param/menu,admin/admin.controller.ts,75
admin,PATCH,/admin/usuarios/:id/rol,/admin/usuarios/:param/rol,admin/admin.controller.ts,67
admin,GET,/admin/usuarios/:id/visibilidad-efectiva,/admin/usuarios/:param/visibilidad-efectiva,admin/admin.controller.ts,100
app.controller.ts,GET,/,/,app.controller.ts,5
