module,file,stored_procedure
acceso,acceso/acceso.repo.ts,sp_DelegacionVisibilidad_Crear
acceso,acceso/acceso.repo.ts,sp_DelegacionVisibilidad_Desactivar
acceso,acceso/acceso.repo.ts,sp_DelegacionVisibilidad_ListarActivas
acceso,acceso/acceso.repo.ts,sp_DelegacionVisibilidad_ListarPorDelegante
acceso,acceso/acceso.repo.ts,sp_DelegacionVisibilidad_ObtenerActivas
acceso,acceso/acceso.repo.ts,sp_Organizacion_BuscarNodoPorId
acceso,acceso/acceso.repo.ts,sp_Organizacion_BuscarNodos
acceso,acceso/acceso.repo.ts,sp_Organizacion_ContarEmpleadosNodoDirecto
acceso,acceso/acceso.repo.ts,sp_Organizacion_ContarEmpleadosPorNodo
acceso,acceso/acceso.repo.ts,sp_Organizacion_ObtenerArbol
acceso,acceso/acceso.repo.ts,sp_Organizacion_ObtenerEmpleadosNodoDirecto
acceso,acceso/acceso.repo.ts,sp_Organizacion_SubarbolContarEmpleados
acceso,acceso/acceso.repo.ts,sp_Organizacion_SubarbolPreviewEmpleados
acceso,acceso/acceso.repo.ts,sp_PermisoArea_Crear
acceso,acceso/acceso.repo.ts,sp_PermisoArea_Desactivar
acceso,acceso/acceso.repo.ts,sp_PermisoArea_ListarActivos
acceso,acceso/acceso.repo.ts,sp_PermisoArea_ObtenerActivosPorRecibe
acceso,acceso/acceso.repo.ts,sp_PermisoEmpleado_Crear
acceso,acceso/acceso.repo.ts,sp_PermisoEmpleado_Desactivar
acceso,acceso/acceso.repo.ts,sp_PermisoEmpleado_ListarActivos
acceso,acceso/acceso.repo.ts,sp_PermisoEmpleado_ObtenerActivosPorRecibe
acceso,acceso/acceso.repo.ts,sp_Usuarios_Buscar
acceso,acceso/acceso.repo.ts,sp_Usuarios_BuscarPorCarnet
acceso,acceso/acceso.repo.ts,sp_Usuarios_BuscarPorCorreo
acceso,acceso/acceso.repo.ts,sp_Usuarios_ListarActivos
acceso,acceso/acceso.repo.ts,sp_Usuarios_ObtenerCarnetPorId
acceso,acceso/acceso.repo.ts,sp_Usuarios_ObtenerDetallesPorCarnets
acceso,acceso/acceso.repo.ts,sp_Visibilidad_ObtenerCarnets
